"id","cluster","study","author","year","type_s","group","group_s","adapted","outcome","adjusted","es","v","se","lowerCI","upperCI","control_raw_gap","control_residual_gap","paper_type","n_school","pop_school","samplesize","setting_type","setting","edu_level","identity_type","identity_dis","identity_adv","density_female","density_urm","density_firstgen","density_freelunch","n_domains","duration","duration_rough_month","number","number_rough","primary_outcome","secondary_outcome","control_type","affirm_type","adaptation","reinforcement","appropriate_reading_level","privacy","ungraded","ordinary","known_teacher","delivered_in_classroom","good_for_you","early","before_stress","timing","random_sequence_generation","allocation_concealment","blinding_of_participants_and_personnel","blinding_of_outcome_assessment","incomplete_outcome_data","selective_reporting","other_sources_of_bias","timing_z","ordinary_z","duration_rough_month_z","density_freelunch_z","delivered_in_classroom_z","control_type_z"
4,"Binning, under review","Binning, under review","Binning","under review","Minority subgroup","URM","Race","No","GPA","Yes",0.3629,0.0249,0.1579,0.0533,0.6725,NA,NA,"Journal",1,NA,163,"pre-secondary","a middle school serving a medium-sized suburban town on the
Eastern seaboard of the United States","6th-8th","gender","Female","Male",0.5,0.46,NA,NA,11,"3 school years",33,"1~8",8,"GPA",NA,"mixed","independent",0,0,NA,NA,0,1,1,"class",0,1,1,"both","low","low","low","low","low","unclear","unclear",-0.570772567853367,1.01785714285714,2.21476324834163,NA,0.595086861654462,-2.59090909090909
5,"Borman, 2012","Borman, 2012","Borman","2012","Minority subgroup","Black","Race","No","MCA reading score","Yes",0.023,0.0024,0.0489,-0.0729,0.1188,NA,NA,"Institutional report",3,NA,1318,"pre-secondary","3 St. Paul Public Schools middle schools","7th-8th","mixed","Female & Black","Male & White",0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,"1",1,NA,"Reading & Math test score","other","independent",0,1,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","low","low","unclear","unclear",-0.570772567853367,-0.95,-0.951239545714939,-1.25305536696634,0.595086861654462,0.606382978723404
5,"Borman, 2012","Borman, 2012","Borman","2012","Minority subgroup","Black","Race","No","MCA math score","Yes",0.0729,0.0029,0.0539,-0.0328,0.1785,NA,NA,"Institutional report",3,NA,1318,"pre-secondary","3 St. Paul Public Schools middle schools","7th-8th","mixed","Female & Black","Male & White",0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,"1",1,NA,"Reading & Math test score","other","independent",0,1,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","low","low","unclear","unclear",-0.570772567853367,-0.95,-0.951239545714939,-1.25305536696634,0.595086861654462,0.606382978723404
5,"Borman, 2012","Borman, 2012","Borman","2012","Minority subgroup","Hispanic","Race","No","MCA reading score","Yes",0.0548,0.007,0.0837,-0.1092,0.2187,NA,NA,"Institutional report",3,NA,1318,"pre-secondary","3 St. Paul Public Schools middle schools","7th-8th","mixed","Female & Black","Male & White",0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,"1",1,NA,"Reading & Math test score","other","independent",0,1,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","low","low","unclear","unclear",-0.570772567853367,-0.95,-0.951239545714939,-1.25305536696634,0.595086861654462,0.606382978723404
5,"Borman, 2012","Borman, 2012","Borman","2012","Minority subgroup","Hispanic","Race","No","MCA math score","Yes",0.0528,0.0054,0.0737,-0.0917,0.1972,NA,NA,"Institutional report",3,NA,1318,"pre-secondary","3 St. Paul Public Schools middle schools","7th-8th","mixed","Female & Black","Male & White",0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,"1",1,NA,"Reading & Math test score","other","independent",0,1,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","low","low","unclear","unclear",-0.570772567853367,-0.95,-0.951239545714939,-1.25305536696634,0.595086861654462,0.606382978723404
5,"Borman, 2012","Borman, 2012","Borman","2012","Minority subgroup","Female","Gender","No","MCA reading score","Yes",0.019,0.0015,0.039,-0.0574,0.0953,NA,NA,"Institutional report",3,NA,1318,"pre-secondary","3 St. Paul Public Schools middle schools","7th-8th","mixed","Female & Black","Male & White",0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,"1",1,NA,"Reading & Math test score","other","independent",0,1,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","low","low","unclear","unclear",-0.570772567853367,-0.95,-0.951239545714939,-1.25305536696634,0.595086861654462,0.606382978723404
5,"Borman, 2012","Borman, 2012","Borman","2012","Minority subgroup","Female","Gender","No","MCA math score","Yes",0.1039,0.0012,0.035,0.0354,0.1724,NA,NA,"Institutional report",3,NA,1318,"pre-secondary","3 St. Paul Public Schools middle schools","7th-8th","mixed","Female & Black","Male & White",0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,"1",1,NA,"Reading & Math test score","other","independent",0,1,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","low","low","unclear","unclear",-0.570772567853367,-0.95,-0.951239545714939,-1.25305536696634,0.595086861654462,0.606382978723404
5,"Borman, 2012","Borman, 2012","Borman","2012","Majority subgroup","Asian","Race","No","MCA reading score","Yes",-0.0659,0.0025,0.0499,-0.1636,0.0319,NA,NA,"Institutional report",3,NA,1318,"pre-secondary","3 St. Paul Public Schools middle schools","7th-8th","mixed","Female & Black","Male & White",0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,"1",1,NA,"Reading & Math test score","other","independent",0,1,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","low","low","unclear","unclear",-0.570772567853367,-0.95,-0.951239545714939,-1.25305536696634,0.595086861654462,0.606382978723404
5,"Borman, 2012","Borman, 2012","Borman","2012","Majority subgroup","Asian","Race","No","MCA math score","Yes",-0.0748,0.0021,0.0459,-0.1648,0.0151,NA,NA,"Institutional report",3,NA,1318,"pre-secondary","3 St. Paul Public Schools middle schools","7th-8th","mixed","Female & Black","Male & White",0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,"1",1,NA,"Reading & Math test score","other","independent",0,1,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","low","low","unclear","unclear",-0.570772567853367,-0.95,-0.951239545714939,-1.25305536696634,0.595086861654462,0.606382978723404
5,"Borman, 2012","Borman, 2012","Borman","2012","Majority subgroup","Male","Gender","No","MCA reading score","Yes",-0.022,0.0018,0.042,-0.1042,0.0603,NA,NA,"Institutional report",3,NA,1318,"pre-secondary","3 St. Paul Public Schools middle schools","7th-8th","mixed","Female & Black","Male & White",0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,"1",1,NA,"Reading & Math test score","other","independent",0,1,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","low","low","unclear","unclear",-0.570772567853367,-0.95,-0.951239545714939,-1.25305536696634,0.595086861654462,0.606382978723404
5,"Borman, 2012","Borman, 2012","Borman","2012","Majority subgroup","Male","Gender","No","MCA math score","Yes",-0.005,0.0015,0.039,-0.0813,0.0714,NA,NA,"Institutional report",3,NA,1318,"pre-secondary","3 St. Paul Public Schools middle schools","7th-8th","mixed","Female & Black","Male & White",0.49,0.49,NA,0.75,11,"March 8, 2011 - the last week of March",0.75,"1",1,NA,"Reading & Math test score","other","independent",0,1,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","low","low","unclear","unclear",-0.570772567853367,-0.95,-0.951239545714939,-1.25305536696634,0.595086861654462,0.606382978723404
6,"MWAP","Borman, 2015","Borman","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conference",11,1706,927,"pre-secondary","Madison Metropolitan School District (MMSD) school district","7th-9th","race","Black & Hispanic","white and asian",0.5,0.35,NA,0.42,11,"2011-2012, August to June",9,"4",4,"GPA",NA,"other","independent",0,1,NA,1,1,1,1,"class",0,1,1,"both","low","low","low","low","unclear","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.2851031120128,0.595086861654462,0.606382978723404
7,"MWAP","Borman, 2016","Borman","2016","Interaction","URM","Race","No","Fall Reading test","Yes",-0.03,0.0043,0.0657,-0.1587,0.0987,0.9232,0.0453,"Journal",11,1706,926,"pre-secondary","Madison Metropolitan School District (MMSD) school district","7th","race","American Indian, African American, Hispanic, and Pacific Islander","white and asian",0.5,0.37,NA,0.43,11,"2011-2012, August to June",9,"4",4,"GPA","Reading, Math & Language test score","other","independent",0,1,NA,1,1,1,1,"class",0,1,1,"both","low","low","low","low","unclear","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.238492249013432,0.595086861654462,0.606382978723404
7,"MWAP","Borman, 2016","Borman","2016","Interaction","URM","Race","No","Fall Math test","Yes",0.06,0.0043,0.0657,-0.0688,0.1887,0.9265,0.1081,"Journal",11,1706,926,"pre-secondary","Madison Metropolitan School District (MMSD) school district","7th","race","American Indian, African American, Hispanic, and Pacific Islander","white and asian",0.5,0.37,NA,0.43,11,"2011-2012, August to June",9,"4",4,"GPA","Reading, Math & Language test score","other","independent",0,1,NA,1,1,1,1,"class",0,1,1,"both","low","low","low","low","unclear","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.238492249013432,0.595086861654462,0.606382978723404
7,"MWAP","Borman, 2016","Borman","2016","Interaction","URM","Race","No","Spring Reading test","Yes",0,0.0043,0.0657,-0.1287,0.1287,0.9232,0.0971,"Journal",11,1706,926,"pre-secondary","Madison Metropolitan School District (MMSD) school district","7th","race","American Indian, African American, Hispanic, and Pacific Islander","white and asian",0.5,0.37,NA,0.43,11,"2011-2012, August to June",9,"4",4,"GPA","Reading, Math & Language test score","other","independent",0,1,NA,1,1,1,1,"class",0,1,1,"both","low","low","low","low","unclear","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.238492249013432,0.595086861654462,0.606382978723404
7,"MWAP","Borman, 2016","Borman","2016","Interaction","URM","Race","No","Spring Math test","Yes",0.0799,0.0043,0.0657,-0.0488,0.2087,0.9265,0.1484,"Journal",11,1706,926,"pre-secondary","Madison Metropolitan School District (MMSD) school district","7th","race","American Indian, African American, Hispanic, and Pacific Islander","white and asian",0.5,0.37,NA,0.43,11,"2011-2012, August to June",9,"4",4,"GPA","Reading, Math & Language test score","other","independent",0,1,NA,1,1,1,1,"class",0,1,1,"both","low","low","low","low","unclear","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.238492249013432,0.595086861654462,0.606382978723404
7,"MWAP","Borman, 2016","Borman","2016","Interaction","URM","Race","No","Spring Language Usage test","Yes",0.0999,0.0043,0.0657,-0.0289,0.2287,NA,0.0842,"Journal",11,1706,926,"pre-secondary","Madison Metropolitan School District (MMSD) school district","7th","race","American Indian, African American, Hispanic, and Pacific Islander","white and asian",0.5,0.37,NA,0.43,11,"2011-2012, August to June",9,"4",4,"GPA","Reading, Math & Language test score","other","independent",0,1,NA,1,1,1,1,"class",0,1,1,"both","low","low","low","low","unclear","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.238492249013432,0.595086861654462,0.606382978723404
8,"MWAP","Borman, 2018","Borman","2018","Interaction","URM","Race","No","9th GPA","Yes",0.2097,0.0044,0.0661,0.0801,0.3393,1.0627,0.3245,"Journal",11,1706,920,"pre-secondary","Madison Metropolitan School District (MMSD) school district","7th-9th","race","Black & Hispanic","white and asian",0.5,0.37,NA,0.43,11,"2011-2014",33,"4",4,"GPA",NA,"other","independent",0,1,NA,1,1,1,1,"class",0,1,1,"both","low","low","low","low","unclear","unclear","unclear",-0.570772567853367,1.01785714285714,2.21476324834163,0.238492249013432,0.595086861654462,0.606382978723404
8,"MWAP","Borman, 2018","Borman","2018","Interaction","White and Asian","Race","No","9th GPA","Yes",0.0353,0.0043,0.0659,-0.094,0.1645,NA,NA,"Journal",11,1706,920,"pre-secondary","Madison Metropolitan School District (MMSD) school district","7th-9th","race","Black & Hispanic","white and asian",0.5,0.37,NA,0.43,11,"2011-2014",33,"4",4,"GPA",NA,"other","independent",0,1,NA,1,1,1,1,"class",0,1,1,"both","low","low","low","low","unclear","unclear","unclear",-0.570772567853367,1.01785714285714,2.21476324834163,0.238492249013432,0.595086861654462,0.606382978723404
9,"Bowen, 2013","Bowen, 2013","Bowen","2013","Minority subgroup","Black","Race","No","Social Studies grades","Yes",0.57,0.0316,0.1778,0.2214,0.9185,NA,NA,"Journal",1,NA,274,"pre-secondary","one middle school in a mostly urban area of the southeastern United States","6th-8th","race","African American","Asian/White/multiracial",0.504,0.861,NA,0.8,NA,"4 academic quarters",10,"1",1,NA,"Social Studies grades","other","independent",0,0,NA,1,1,0,1,"class",0,0,1,"before_stress","low","low","low","unclear","low","unclear","unclear",-0.570772567853367,-0.95,-0.0431612249390231,-1.48610968196318,0.595086861654462,0.606382978723404
10,"Bratter et al.","Bratter, 2016","Bratter","2016","Minority subgroup","Black","Race","No","Semester English grades","No",0.2044,0.0178,0.1335,-0.0571,0.466,NA,0.5615,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,"the 2012–2013 academic year",9,"4",4,NA,"English, Reading & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.471546564010271,0.595086861654462,-2.59090909090909
10,"Bratter et al.","Bratter, 2016","Bratter","2016","Minority subgroup","Black","Race","No","STAAR Reading","No",-0.0931,0.0177,0.1332,-0.3541,0.1679,NA,0.3333,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,"the 2012–2013 academic year",9,"4",4,NA,"English, Reading & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.471546564010271,0.595086861654462,-2.59090909090909
10,"Bratter et al.","Bratter, 2016","Bratter","2016","Minority subgroup","Black","Race","No","STAAR Algebra","No",-0.1994,0.0178,0.1334,-0.4609,0.0622,NA,0.4003,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,"the 2012–2013 academic year",9,"4",4,NA,"English, Reading & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.471546564010271,0.595086861654462,-2.59090909090909
10,"Bratter et al.","Bratter, 2016","Bratter","2016","Minority subgroup","Hispanic","Race","No","Semester English grades","No",-0.023,0.0073,0.0854,-0.1903,0.1443,NA,0.484,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,"the 2012–2013 academic year",9,"4",4,NA,"English, Reading & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.471546564010271,0.595086861654462,-2.59090909090909
10,"Bratter et al.","Bratter, 2016","Bratter","2016","Minority subgroup","Hispanic","Race","No","STAAR Reading","No",-0.0899,0.0073,0.0854,-0.2573,0.0775,NA,0.4235,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,"the 2012–2013 academic year",9,"4",4,NA,"English, Reading & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.471546564010271,0.595086861654462,-2.59090909090909
10,"Bratter et al.","Bratter, 2016","Bratter","2016","Minority subgroup","Hispanic","Race","No","STAAR Algebra","No",-0.0215,0.0073,0.0854,-0.1888,0.1458,NA,0.4096,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,"the 2012–2013 academic year",9,"4",4,NA,"English, Reading & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.471546564010271,0.595086861654462,-2.59090909090909
10,"Bratter et al.","Bratter, 2016","Bratter","2016","Minority subgroup","Black","Race","No","Semester English grades","Yes",0.1199,0.0177,0.1332,-0.1412,0.381,NA,0.5615,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,"the 2012–2013 academic year",9,"4",4,NA,"English, Reading & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.471546564010271,0.595086861654462,-2.59090909090909
10,"Bratter et al.","Bratter, 2016","Bratter","2016","Minority subgroup","Black","Race","No","STAAR Reading","Yes",-0.2289,0.0178,0.1335,-0.4907,0.0328,NA,0.3333,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,"the 2012–2013 academic year",9,"4",4,NA,"English, Reading & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.471546564010271,0.595086861654462,-2.59090909090909
10,"Bratter et al.","Bratter, 2016","Bratter","2016","Minority subgroup","Black","Race","No","STAAR Algebra","Yes",-0.2905,0.0179,0.1338,-0.5527,-0.0282,NA,0.4003,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,"the 2012–2013 academic year",9,"4",4,NA,"English, Reading & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.471546564010271,0.595086861654462,-2.59090909090909
10,"Bratter et al.","Bratter, 2016","Bratter","2016","Minority subgroup","Hispanic","Race","No","Semester English grades","Yes",-0.0313,0.0073,0.0854,-0.1986,0.1361,NA,0.484,"Journal",3,1245,886,"secondary","English classrooms during the 2012–2013 academic year in a large metropolitan school district in Texas where only 8% of the students are white (non- Hispanic), 25% are black, and more than 60% are Hispanic","9th","race","African American","White, Asians, Pacific Islanders, Native American and other",0.5,0.88,NA,0.38,12,"the 2012–2013 academic year",9,"4",4,NA,"English, Reading & Algebra test score","neutral","independent",0,0,NA,1,1,1,1,"class",0,0,1,"before_stress","low","low","low","low","high","unclear","unclear",-0.570772567853367,1.01785714285714,-0.141331854212095,0.471546564010271,0.595086861654462,-2.59090909090909
